cod;description;marca;url;imagem
336793;Kit Dermocosméticos Grama Verde;Ybera Paris;https://www.b2cstore.com.br/produto/kit-dermocosmeticos-grama-verde-ybera-paris-150283?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-dermocosmeticos-grama-verde-ybera-paris-150283/336793.jpg
336781;Fashion Summer Iluminador de Bronze 300g;Fashion Gold;https://www.b2cstore.com.br/produto/fashion-summer-iluminador-de-bronze-300g-fashion-gold-150271?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/fashion-summer-iluminador-de-bronze-300g-fashion-gold-150271/336781.jpg
336926;Mousse de Manteigas Amazônicas Jungle 260ml;Ybera Paris;https://www.b2cstore.com.br/produto/mousse-de-manteigas-amazonicas-jungle-260ml-ybera-paris-150412?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/mousse-de-manteigas-amazonicas-jungle-260ml-ybera-paris-150412/336926.jpg
336917;Geleia Detox Nutritiva Grama Verde 260ml;Ybera Paris;https://www.b2cstore.com.br/produto/geleia-detox-nutritiva-grama-verde-260ml-ybera-paris-150403?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/geleia-detox-nutritiva-grama-verde-260ml-ybera-paris-150403/336917.jpg
336915;Elixir Facial Açaí e Guaraná 50ml;Ybera Paris;https://www.b2cstore.com.br/produto/elixir-facial-acai-e-guarana-50ml-ybera-paris-150401?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/elixir-facial-acai-e-guarana-50ml-ybera-paris-150401/336915.jpg
336895;Manteiga Esfoliante Firmadora Si Cajú 200g;Ybera Paris;https://www.b2cstore.com.br/produto/manteiga-esfoliante-firmadora-si-caju-200g-ybera-paris-150385?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/manteiga-esfoliante-firmadora-si-caju-200g-ybera-paris-150385/336895.jpg
336794;Kit Dermocosméticos Jungle;Ybera Paris;https://www.b2cstore.com.br/produto/kit-dermocosmeticos-jungle-ybera-paris-150284?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-dermocosmeticos-jungle-ybera-paris-150284/336794.jpg
336780;Fashion Summer Acelerador de Bronzeado 250g;Fashion Gold;https://www.b2cstore.com.br/produto/fashion-summer-acelerador-de-bronzeado-250g-fashion-gold-150270?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/fashion-summer-acelerador-de-bronzeado-250g-fashion-gold-150270/336780.jpg
336924;Fluido de Seiva Amazônica Jungle 260ml;Ybera Paris;https://www.b2cstore.com.br/produto/fluido-de-seiva-amazonica-jungle-260ml-ybera-paris-150410?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/fluido-de-seiva-amazonica-jungle-260ml-ybera-paris-150410/336924.jpg
336922;Eternaline Sérum Eternity Skin 50ml;Ybera Paris;https://www.b2cstore.com.br/produto/eternaline-serum-eternity-skin-50ml-ybera-paris-150408?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/eternaline-serum-eternity-skin-50ml-ybera-paris-150408/336922.jpg
